,id_recorrido,duracion_recorrido,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,long_estacion_origen,lat_estacion_origen,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,long_estacion_destino,lat_estacion_destino,id_usuario,modelo_bicicleta,genero,minutos,horas,dia,mes
2393665,23816732,1122,2024-11-11 00:00:31,158,158 - VILLARROEL,1321 Villarroel & Humboldt CABA,-58.4450697,-34.592735,2024-11-11 00:19:13,167,275 - PLAZA 24 DE SEPTIEMBRE,1355 San Martin Av.,-58.44854,-34.606984,1165228.0,FIT,MALE,0,11,0,11
2057040,23816733,436,2024-11-11 00:01:07,200,200 - AUSTRIA Y FRENCH,Austria 2075,-58.40426080000001,-34.5882997,2024-11-11 00:08:23,144,144 - PUEYRREDÓN,684 Boulogne Sur Mer & Tucuman,-58.4060944,-34.6018744,984491.0,FIT,MALE,1,11,0,11
2854598,23816734,969,2024-11-11 00:01:16,144,144 - PUEYRREDÓN,684 Boulogne Sur Mer & Tucuman,-58.4060944,-34.6018744,2024-11-11 00:17:25,38,038 - Plaza Libertad,Cerrito 990 y Av. Marcelo T. De Alvear,-58.382840300000005,-34.5970497,1211562.0,FIT,MALE,1,11,0,11
2396989,23816735,367,2024-11-11 00:02:26,481,369 - PLAZA LARRAZABAL,AV. LARRAZABAL 380,-58.5127001,-34.6430378,2024-11-11 00:08:33,560,291 - JUAN BAUTISTA ALBERDI,Av. Juan Bautista Alberdi 5799,-58.502125,-34.651081,828781.0,FIT,FEMALE,2,11,0,11
2348151,23816736,1535,2024-11-11 00:02:41,382,204 - Biarritz,Biarritz 2403,-58.47725521899702,-34.60543081369964,2024-11-11 00:28:16,449,352 - San Jose de Flores,Av. Rivadavia 6955,-58.463297377,-34.62883578,1206083.0,FIT,MALE,2,11,0,11
2854577,23816737,226,2024-11-11 00:03:07,289,255 - BARRANCAS DE BELGRANO,"Sucre, Antonio Jose De, Mcal. Y Vertiz Virrey Av.",-58.44831400000001,-34.559801,2024-11-11 00:06:53,187,261 - QUINTEROS LIDORO,"1483 Quinteros, Lidoro J. Av.",-58.45089699999999,-34.552571,1117617.0,ICONIC,MALE,3,11,0,11
2211590,23816740,657,2024-11-11 00:07:58,161,161 - Humahuaca,3912 Humahuaca,-58.4196761,-34.6020779,2024-11-11 00:18:55,131,131- HOSPITAL DE CLÍNICAS,"Uriburu Jose E., Pres. & Paraguay",-58.39901580000001,-34.5984043,983097.0,FIT,FEMALE,7,11,0,11
2393862,23816741,1039,2024-11-11 00:08:02,522,119 - PLAZOLETA BENEDIT,Av. Warnes y Av. R. Scalabrini Ortiz,-58.44254819999999,-34.6022435,2024-11-11 00:25:21,161,161 - Humahuaca,3912 Humahuaca,-58.4196761,-34.6020779,1242247.0,FIT,MALE,8,11,0,11
2789713,23816742,1183,2024-11-11 00:08:10,476,279 - PLAZA MONTE CASTRO,Gualeguaychú 1900,-58.4985253,-34.6182924,2024-11-11 00:27:53,476,279 - PLAZA MONTE CASTRO,Gualeguaychú 1900,-58.4985253,-34.6182924,1215884.0,ICONIC,MALE,8,11,0,11
2789777,23816743,794,2024-11-11 00:08:41,441,016 - Legislatura,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",-58.3748,-34.609801,2024-11-11 00:21:55,13,013 - ONCE,Av. Pueyrredon & Av. Rivadavia,-58.406,-34.61009,924659.0,FIT,MALE,8,11,0,11
