,A,B
0,812954,643720
1,868217,609046
2,920248,607272
3,841621,639394
4,843907,598777
5,817712,620917
6,865980,632292
7,876539,639944
8,805247,642901
9,829227,565484
10,834679,669557
11,851242,630615
12,890325,702688
13,832159,638667
14,833736,637738
15,778784,571492
16,844489,672382
17,825802,638894
18,875471,622426
19,879225,639387
20,819482,633447
21,818212,633262
22,839324,651033
23,817439,678071
24,876202,600942
25,841025,623927
26,850781,619234
27,754610,657392
28,842733,640979
29,881538,613492
30,804685,671123
31,877083,575129
32,847312,655073
33,827558,623170
34,896258,707205
35,829939,644422
36,880719,597439
37,828313,669762
38,778978,589645
39,832323,624353
40,838906,655174
41,913673,576755
42,875535,587227
43,797487,625675
44,893942,596033
45,770410,662419
46,814804,605047
47,832215,638387
48,840280,643770
49,833327,621905
50,763542,635170
51,825599,608689
52,813209,683512
53,938544,680392
54,834393,656902
55,787129,643393
56,801229,617139
57,886144,566002
58,865073,661021
59,796962,632416
60,822877,612926
61,835985,639514
62,908901,628142
63,807989,610817
64,823816,651852
65,818245,618659
66,827601,640196
67,846830,641704
68,829041,623258
69,858850,714281
70,835967,564514
71,835698,660461
72,843223,632872
73,880916,697241
74,813541,641007
75,913911,586519
76,707529,693451
77,846436,659041
78,865316,690133
79,842837,647272
80,856101,601665
81,822815,616988
82,823364,620870
83,817697,617678
84,822368,648690
85,855476,711703
86,818065,675114
87,843822,686283
88,834396,637625
89,802367,626026
90,774481,694664
91,805075,559992
92,828813,622656
93,841088,641913
94,736868,591803
95,812519,658809
96,847097,610257
97,880136,670834
98,871566,663124
99,835178,647851
100,801113,631728
101,836302,641336
102,865563,600752
103,856184,670732
104,930906,675380
105,787684,612023
106,879210,671905
107,940080,668730
108,812951,619690
109,782647,635710
110,834146,634536
111,825334,626399
112,827880,657944
113,806472,625818
114,813142,634900
115,834478,637224
116,859522,666389
117,812822,650842
118,927475,652500
119,830057,593423
120,852554,687005
121,755212,616702
122,825515,636212
123,841978,583774
124,828956,617518
125,851077,623381
126,847787,616365
127,781111,594759
128,793474,650770
129,849922,659848
130,857555,592525
131,851042,620360
132,801896,668379
133,798422,689889
134,802904,649859
135,833844,679629
136,844117,650340
137,750522,621023
138,835324,635252
139,805810,620656
140,826540,709657
141,821335,650998
142,844114,619755
143,799854,605921
144,835851,659073
145,850049,594729
146,901514,652113
147,826740,617100
148,864116,598962
149,830754,656445
150,816172,642632
151,875320,588946
152,836090,553666
153,944095,704540
154,834141,639092
155,858997,628120
156,819923,617399
157,812780,635276
158,808308,627973
159,868777,586944
160,848355,652762
161,853192,621237
162,769703,672760
163,983609,624193
164,767435,659742
165,795478,653018
166,867257,713816
167,822799,582231
168,795493,623079
169,894097,564130
170,836258,638770
171,725411,693316
172,824187,721313
173,835113,638129
174,874788,594226
175,811045,640408
176,806425,629019
177,817577,599782
178,829553,641233
179,780758,698302
180,835775,635385
181,836176,639066
182,814374,659984
183,787165,670018
184,765298,632123
185,814905,686125
186,830536,651952
